n_targeted,share_targeted,incremental_outcomes
1,0.0002777777777777778,0.0
2,0.0005555555555555556,0.0
3,0.0008333333333333334,0.0
4,0.0011111111111111111,0.0
5,0.001388888888888889,0.0
6,0.0016666666666666668,0.0
7,0.0019444444444444444,1.0
8,0.0022222222222222222,2.0
9,0.0025,1.5
10,0.002777777777777778,2.3333333333333335
11,0.0030555555555555557,2.428571428571429
12,0.0033333333333333335,2.2857142857142856
13,0.003611111111111111,2.375
14,0.0038888888888888888,2.4444444444444446
15,0.004166666666666667,2.3333333333333335
16,0.0044444444444444444,1.7999999999999998
17,0.004722222222222222,1.5999999999999999
18,0.005,2.4
19,0.005277777777777778,1.8181818181818183
20,0.005555555555555556,1.5454545454545459
21,0.005833333333333334,2.272727272727273
22,0.006111111111111111,2.5
23,0.006388888888888889,3.25
24,0.006666666666666667,4.0
25,0.006944444444444444,4.230769230769231
26,0.007222222222222222,3.5714285714285716
27,0.0075,3.0
28,0.0077777777777777776,2.666666666666667
29,0.008055555555555555,2.9375
30,0.008333333333333333,3.625
31,0.008611111111111111,3.88235294117647
32,0.008888888888888889,3.5882352941176467
33,0.009166666666666667,3.833333333333333
34,0.009444444444444445,4.555555555555555
35,0.009722222222222222,4.7894736842105265
36,0.01,5.0
37,0.010277777777777778,5.75
38,0.010555555555555556,5.9523809523809526
39,0.010833333333333334,6.714285714285714
40,0.011111111111111112,7.476190476190476
41,0.01138888888888889,6.818181818181818
42,0.011666666666666667,6.217391304347826
43,0.011944444444444445,6.458333333333333
44,0.012222222222222223,5.92
45,0.0125,6.153846153846153
46,0.012777777777777779,6.846153846153846
47,0.013055555555555556,7.538461538461538
48,0.013333333333333334,7.0
49,0.01361111111111111,7.249999999999999
50,0.013888888888888888,7.928571428571428
51,0.014166666666666666,8.172413793103448
52,0.014444444444444444,8.4
53,0.014722222222222222,8.100000000000001
54,0.015,8.32258064516129
55,0.015277777777777777,8.53125
56,0.015555555555555555,9.25
57,0.015833333333333335,8.727272727272727
58,0.01611111111111111,8.941176470588236
59,0.01638888888888889,8.457142857142857
60,0.016666666666666666,8.0
61,0.016944444444444446,8.666666666666668
62,0.017222222222222222,8.333333333333334
63,0.0175,7.864864864864865
64,0.017777777777777778,8.105263157894736
65,0.018055555555555554,8.763157894736842
66,0.018333333333333333,8.421052631578947
67,0.01861111111111111,9.078947368421053
68,0.01888888888888889,9.736842105263158
69,0.019166666666666665,10.0
70,0.019444444444444445,10.666666666666668
71,0.01972222222222222,10.333333333333334
72,0.02,11.0
73,0.020277777777777777,10.450000000000001
74,0.020555555555555556,10.73170731707317
75,0.020833333333333332,11.390243902439023
76,0.021111111111111112,11.048780487804876
77,0.021388888888888888,11.707317073170731
78,0.021666666666666667,12.365853658536585
79,0.021944444444444444,12.666666666666668
80,0.022222222222222223,12.093023255813954
81,0.0225,11.545454545454545
82,0.02277777777777778,12.181818181818182
83,0.023055555555555555,12.818181818181818
84,0.023333333333333334,12.266666666666667
85,0.02361111111111111,12.88888888888889
86,0.02388888888888889,13.511111111111111
87,0.024166666666666666,13.133333333333333
88,0.024444444444444446,13.755555555555556
89,0.024722222222222222,13.173913043478262
90,0.025,13.53191489361702
91,0.025277777777777777,14.148936170212767
92,0.025555555555555557,13.76595744680851
93,0.025833333333333333,14.382978723404257
94,0.026111111111111113,13.791666666666668
95,0.02638888888888889,13.224489795918366
96,0.02666666666666667,13.599999999999998
97,0.026944444444444444,13.058823529411764
98,0.02722222222222222,13.647058823529413
99,0.0275,13.235294117647058
100,0.027777777777777776,12.823529411764707
101,0.028055555555555556,12.411764705882355
102,0.028333333333333332,12.0
103,0.02861111111111111,12.588235294117649
104,0.028888888888888888,13.176470588235293
105,0.029166666666666667,12.576923076923077
106,0.029444444444444443,13.153846153846153
107,0.029722222222222223,13.73076923076923
108,0.03,13.132075471698112
109,0.03027777777777778,12.69811320754717
110,0.030555555555555555,13.148148148148149
111,0.030833333333333334,12.563636363636366
112,0.03111111111111111,13.0
113,0.03138888888888889,13.421052631578949
114,0.03166666666666667,14.0
115,0.03194444444444444,14.578947368421055
116,0.03222222222222222,15.157894736842106
117,0.0325,15.736842105263158
118,0.03277777777777778,16.315789473684212
119,0.03305555555555555,16.758620689655174
120,0.03333333333333333,17.1864406779661
