customer_id,pred_uplift,p_if_treated,p_if_control,treatment,outcome
5121,0.6672772249401222,0.7820391146437942,0.38957667859719514,1,0
2570,0.6358732075796634,0.8295645617343065,0.3647089724860703,1,0
564,0.5921467845306483,0.8543943880190106,0.4307907642860291,0,1
9353,0.5782756319137226,0.7583403304544319,0.39158750522804153,1,0
7215,0.5758817410960728,0.890010807669813,0.5618310117451834,0,1
1172,0.5700667944629381,0.9094526901305754,0.5997701202517869,1,1
3334,0.5639012329612328,0.869806292988248,0.6267283961246201,1,1
8534,0.5396569055388456,0.7928827180572352,0.39388978637472627,1,0
1340,0.5394052909171436,0.8640848005841245,0.6292399951245341,0,1
6248,0.5376336687779515,0.9156538894554832,0.6136783103493604,1,1
8036,0.5349598121798675,0.4811012843994818,0.23773476431360194,0,1
9323,0.5343606753449309,0.7896341894337747,0.3807230132054885,1,1
6205,0.5339578666499007,0.5034046075408993,0.26580178613430133,0,0
1081,0.5326310244170577,0.6825880127221773,0.4110594601955846,1,1
5350,0.5273511868105326,0.8985295313371046,0.5870626178464308,0,0
5453,0.5156860819931803,0.8706923851622601,0.6261962908195009,1,1
8132,0.5105625812038456,0.7147010314614339,0.3999505326947945,1,0
5726,0.5042791298967594,0.4901227665574416,0.2465389942644749,0,0
1118,0.5018474863624083,0.709536941478514,0.3562040465066041,0,0
5735,0.497754982159323,0.8438019427383107,0.5836207873727176,0,0
2798,0.48605594729862134,0.9007590303619132,0.5636946463569317,1,1
4137,0.4801553713575123,0.6944042915328817,0.42813678330151966,1,1
3595,0.47835219043254,0.6906900681120401,0.49080217937069714,0,1
3010,0.4668134747009317,0.862816724487457,0.6365171532869359,0,1
2350,0.46183012697825887,0.7219859316780444,0.3945616251191561,1,0
873,0.45827656801394784,0.8301688673817714,0.4047650535120751,1,1
8566,0.4543302526773839,0.43195125821195596,0.18901676675965784,0,0
8029,0.44471622158459745,0.9031068460294953,0.5874615292842094,1,0
3643,0.44154201631877793,0.775266153703158,0.4486048449872045,0,0
4767,0.43847415827074987,0.8205568435624078,0.5548345781441381,1,1
10240,0.43591610365278516,0.8709166617084217,0.5316470767427838,1,1
1763,0.4351270113441544,0.924652031969884,0.6225769262234562,1,1
5985,0.43465865515765595,0.4957784271461543,0.25844110728236314,0,1
2814,0.4265606436106469,0.42841604166721453,0.20447220677520891,1,1
6299,0.42632576362837166,0.7694610961693948,0.3830627074483461,1,1
6200,0.42524866104230885,0.6536733043498741,0.4812383320839764,0,1
1079,0.4227906441806221,0.7896419192587342,0.4589531542348065,1,0
10972,0.4227436195888702,0.7831343250543693,0.468346852381168,1,1
8911,0.42106027478046415,0.6809349004866635,0.3782389879779759,1,1
4827,0.4196002064946006,0.6353774716836686,0.37644751315356784,0,0
1592,0.4189091355983303,0.8634693753127876,0.610654853431275,1,1
9432,0.4166747791697624,0.5190032545958484,0.353778326514175,1,1
837,0.4159248155466717,0.5560010467715082,0.2765138277449326,0,1
6721,0.41326610835680755,0.6903492396237499,0.46496238643456206,1,1
10507,0.41313089745028553,0.7464537179128892,0.40531363724366676,0,0
10521,0.4125569399206524,0.5610405235412896,0.2851942114131623,1,1
7476,0.4119660590587645,0.7878791770055973,0.4824065025977339,1,0
9952,0.40816366838253904,0.6407369440348557,0.5100483848607558,0,1
2521,0.4068532426096064,0.5459020822992606,0.27254159312858,1,0
5074,0.4064188857940902,0.41261808489125124,0.2342236756356687,0,0
8702,0.4050909618127769,0.41303847596979176,0.18504509935719243,0,0
10270,0.4016578062693963,0.4417877599533673,0.23958816702169713,0,0
7247,0.39990865828132227,0.6892494373982637,0.35729918142267814,1,1
2669,0.3985513333330702,0.64056598343706,0.48800878732935427,0,0
3050,0.3983180637200552,0.5321446051769176,0.28144457439680964,1,0
4679,0.39648571485874345,0.6563959779459827,0.4914333360945265,1,1
5872,0.39518987710858683,0.6542189664341181,0.4054961915993621,0,0
9904,0.39512955567438307,0.668571726015954,0.43988689641561857,1,1
4058,0.3938118033821647,0.7304301796695531,0.46651351099554905,1,0
3968,0.3902615909737138,0.8403405601242149,0.4805271650136687,0,0
2546,0.38674930650942757,0.4641305752185344,0.2506468281061806,0,0
9516,0.3817937792976945,0.7854990497963302,0.47538783487294617,1,1
6421,0.37971461103745036,0.8613074540966221,0.6227192946870101,1,1
10858,0.3784985031301006,0.6601807346757282,0.4268961237354647,1,1
7321,0.3756361708524794,0.7783264152295907,0.4619177324741231,0,1
4998,0.3756361708524794,0.7783264152295907,0.4619177324741231,1,1
8026,0.37444301007544384,0.6780373630066227,0.38005694076755697,1,0
8216,0.3714811133339635,0.564846480747083,0.3149366660752401,0,0
7349,0.36989296455853016,0.4457968455580917,0.26178649671550136,0,0
2285,0.3696746023237557,0.516577277873201,0.3262841262971486,0,0
6963,0.3683629164528236,0.7648473241011824,0.5017053829547625,0,1
1175,0.36685853156248804,0.7073201004224337,0.3531929478085083,0,0
4580,0.36637794285692593,0.9104156477493357,0.5958231084244026,1,1
10241,0.35834602615457223,0.4081496569273237,0.1969077712286429,0,1
1990,0.3550023864760241,0.8026078041156378,0.5340354232586343,1,1
257,0.35484257921720397,0.5989219359146934,0.511114201029108,1,0
5832,0.35349769522860963,0.6466322171177074,0.5331132503546353,1,1
10548,0.3471470428316701,0.687915972600578,0.5195931584222422,1,1
9206,0.3469225276238767,0.8087423020644445,0.5102703802351916,0,1
10524,0.3464060144048545,0.5909920816929558,0.3987687241369768,0,0
544,0.3439351419162904,0.6361621744243436,0.4206810952659192,1,0
7233,0.3429354448461729,0.8272989570534053,0.5465169270594055,1,1
697,0.3371127172009,0.8494554835547411,0.5971664280194652,1,1
6606,0.3344150722572535,0.7603828980119848,0.47460825852629046,1,1
454,0.3322199261915403,0.6049833832659236,0.452297153895204,1,0
5892,0.33167955881809863,0.5102074546978929,0.27930738965628066,1,1
10175,0.3303707769198564,0.4357184824269998,0.2147250335378837,0,0
975,0.32926157115635735,0.48110932791475125,0.28824286804896376,1,1
1077,0.32857749246548157,0.6118568513091108,0.3398894809771595,0,0
2261,0.32694338028815123,0.3996802382900391,0.19340780042492503,0,0
