n_targeted,share_targeted,incremental_outcomes
1,0.0018050541516245488,0.0
2,0.0036101083032490976,1.0
3,0.005415162454873646,-1.0
4,0.007220216606498195,-1.0
5,0.009025270758122744,0.5
6,0.010830324909747292,0.0
7,0.01263537906137184,-0.5
8,0.01444043321299639,0.0
9,0.016245487364620937,0.5
10,0.018050541516245487,1.0
11,0.019855595667870037,-0.33333333333333304
12,0.021660649819494584,1.0
13,0.023465703971119134,1.5
14,0.02527075812274368,2.0
15,0.02707581227436823,1.5
16,0.02888086642599278,2.5999999999999996
17,0.030685920577617327,3.3333333333333335
18,0.032490974729241874,4.0
19,0.03429602888086643,3.666666666666667
20,0.036101083032490974,3.333333333333334
21,0.03790613718411552,3.0
22,0.039711191335740074,1.571428571428572
23,0.04151624548736462,2.375
24,0.04332129963898917,3.0
25,0.04512635379061372,3.625
26,0.04693140794223827,4.25
27,0.048736462093862815,4.875
28,0.05054151624548736,4.5
29,0.052346570397111915,5.125
30,0.05415162454873646,6.0
31,0.05595667870036101,6.666666666666667
32,0.05776173285198556,7.4
33,0.05956678700361011,6.0
34,0.061371841155234655,6.636363636363637
35,0.0631768953068592,7.333333333333334
36,0.06498194945848375,7.9230769230769225
37,0.06678700361010831,8.615384615384615
38,0.06859205776173286,7.428571428571429
39,0.0703971119133574,8.0
40,0.07220216606498195,8.5
41,0.0740072202166065,9.1875
42,0.07581227436823104,9.647058823529411
43,0.0776173285198556,10.352941176470587
44,0.07942238267148015,10.058823529411764
45,0.0812274368231047,10.76470588235294
46,0.08303249097472924,10.470588235294118
47,0.08483754512635379,10.944444444444445
48,0.08664259927797834,11.666666666666666
49,0.08844765342960288,12.105263157894736
50,0.09025270758122744,12.842105263157896
51,0.09205776173285199,13.25
52,0.09386281588447654,14.0
53,0.09566787003610108,14.380952380952381
54,0.09747292418772563,13.272727272727273
55,0.09927797833935018,12.26086956521739
56,0.10108303249097472,11.956521739130434
57,0.10288808664259928,11.652173913043477
58,0.10469314079422383,12.083333333333332
59,0.10649819494584838,11.12
60,0.10830324909747292,11.799999999999999
61,0.11010830324909747,12.48
62,0.11191335740072202,12.16
63,0.11371841155234658,12.615384615384615
64,0.11552346570397112,11.666666666666668
65,0.11732851985559567,12.333333333333334
66,0.11913357400722022,13.0
67,0.12093862815884476,12.666666666666668
68,0.12274368231046931,11.714285714285714
69,0.12454873646209386,12.357142857142858
70,0.1263537906137184,12.0
71,0.12815884476534295,12.642857142857142
72,0.1299638989169675,12.285714285714285
73,0.13176895306859207,12.827586206896552
74,0.13357400722021662,11.866666666666667
75,0.13537906137184116,12.387096774193548
76,0.1371841155234657,11.5
77,0.13898916967509026,10.666666666666668
78,0.1407942238267148,11.272727272727273
79,0.14259927797833935,10.47058823529412
80,0.1444043321299639,10.058823529411764
81,0.14620938628158844,9.285714285714288
82,0.148014440433213,9.857142857142858
83,0.14981949458483754,10.416666666666664
84,0.15162454873646208,10.0
85,0.15342960288808663,10.54054054054054
86,0.1552346570397112,10.135135135135133
87,0.15703971119133575,10.72972972972973
88,0.1588447653429603,11.324324324324323
89,0.16064981949458484,10.91891891891892
90,0.1624548736462094,10.513513513513512
91,0.16425992779783394,11.078947368421051
92,0.16606498194945848,11.615384615384613
93,0.16787003610108303,12.125
94,0.16967509025270758,12.75
95,0.17148014440433212,13.375
96,0.17328519855595667,14.0
97,0.17509025270758122,14.625
98,0.17689530685920576,14.25
99,0.17870036101083034,14.875
100,0.18050541516245489,15.5
