customer_id,pred_uplift,p_if_treated,p_if_control,treatment,outcome
2570,0.42895485752882,0.8295645617343065,0.3647089724860703,1,0
873,0.39496617226699715,0.8301688673817714,0.4047650535120751,1,1
564,0.3890051717118186,0.8543943880190106,0.4307907642860291,0,1
9323,0.3775872277347263,0.7896341894337747,0.3807230132054885,1,1
3968,0.37619527993017654,0.8403405601242149,0.4805271650136687,0,0
8534,0.3739544906871253,0.7928827180572352,0.39388978637472627,1,0
5121,0.3722482299184844,0.7820391146437942,0.38957667859719514,1,0
10240,0.3549863386694972,0.8709166617084217,0.5316470767427837,1,1
6299,0.3488559880815898,0.769461096169395,0.3830627074483461,1,1
340,0.3418488488968022,0.7924493987025074,0.48509760661116286,1,1
8036,0.333003885728949,0.4811012843994818,0.23773476431360194,0,1
5726,0.33012875225751337,0.4901227665574416,0.2465389942644749,0,0
9516,0.32676516048161963,0.7854990497963302,0.4753878348729463,1,1
2798,0.3260815187328167,0.9007590303619132,0.5636946463569318,1,1
2521,0.32035588632654344,0.5459020822992606,0.27254159312858,1,0
6205,0.31881216509177535,0.5034046075408994,0.26580178613430133,0,0
10507,0.31603104481683086,0.7464537179128892,0.4053136372436668,0,0
10972,0.3149621118888484,0.7831343250543693,0.468346852381168,1,1
8132,0.31306901494342243,0.7147010314614339,0.3999505326947945,1,0
9353,0.31190561654470134,0.7583403304544319,0.3915875052280415,1,0
1079,0.30915048211435386,0.7896419192587342,0.4589531542348065,1,0
837,0.3063193933603409,0.5560010467715082,0.2765138277449326,0,1
8143,0.30593998109246934,0.5582405726446739,0.31260980255450194,0,0
7247,0.3059351508025998,0.6892494373982636,0.35729918142267814,1,1
4673,0.3058728865185153,0.8602851572180513,0.5169035332225551,1,1
1081,0.30577866075160964,0.6825880127221772,0.4110594601955846,1,1
9606,0.3048412178027819,0.80994273115786,0.5365373895535516,1,1
7476,0.30383286153202527,0.7878791770055972,0.482406502597734,1,0
8911,0.3015206150135883,0.6809349004866635,0.3782389879779759,1,1
4827,0.3009403561350584,0.6353774716836686,0.3764475131535678,0,0
4137,0.30019530065493316,0.6944042915328819,0.42813678330151966,1,1
6770,0.2998658533584257,0.5301062837728726,0.2912659885613514,0,0
7215,0.29877570275628135,0.890010807669813,0.5618310117451834,0,1
6606,0.29669952445811576,0.7603828980119848,0.47460825852629057,1,1
5872,0.2965257084870928,0.6542189664341181,0.4054961915993621,0,0
955,0.29452174766162403,0.561447339657913,0.3099466537749798,0,0
10521,0.29336671525768476,0.5610405235412896,0.2851942114131623,1,1
3009,0.2923810659696203,0.8987932266586038,0.5784168225389604,0,1
1175,0.29182352748769086,0.7073201004224337,0.3531929478085083,0,0
8216,0.29116550057835333,0.564846480747083,0.3149366660752401,0,0
6906,0.2908804497634776,0.8679279904186402,0.5237266295854804,1,1
3643,0.2908708779293997,0.775266153703158,0.4486048449872045,0,0
9904,0.2903312989908203,0.668571726015954,0.43988689641561857,1,1
10319,0.2897792503672632,0.7659011924616954,0.4517038012061646,1,0
1139,0.288755635885636,0.8927491485237123,0.59887301368739,1,1
3050,0.2873450221222763,0.5321446051769176,0.28144457439680964,1,0
10913,0.28534894725143933,0.3959128861263757,0.18695287080240724,0,0
830,0.28238526319779406,0.8940529298507088,0.5500345575705394,1,1
1118,0.28212445053165724,0.709536941478514,0.3562040465066041,0,0
4767,0.28151194596491974,0.8205568435624078,0.5548345781441381,1,1
4399,0.27913439012394925,0.697818981090217,0.4457855163183859,0,0
9888,0.27913439012394925,0.697818981090217,0.4457855163183859,1,1
10264,0.27805535538290693,0.3780919214354898,0.1900732120073615,0,0
5204,0.27791437340277364,0.8833904211195659,0.5654191414219846,0,1
9206,0.2770814845424223,0.8087423020644446,0.5102703802351916,0,1
8026,0.27602593390188745,0.6780373630066228,0.38005694076755697,1,0
8346,0.2750764285554992,0.5753827986105292,0.3389240464165551,1,0
8779,0.2750087353951816,0.5547914056616841,0.3007694587612502,0,0
3412,0.27223503151933104,0.7321673970302299,0.4451304187466029,0,1
5547,0.270865081814581,0.9394214918245668,0.61987235088873,1,1
7366,0.27031598320985173,0.8800829153286239,0.5933745437782089,1,1
2350,0.270047839948944,0.7219859316780444,0.3945616251191561,1,0
2546,0.26829426815415963,0.4641305752185344,0.2506468281061806,0,0
1245,0.2682637017103341,0.757242257091701,0.47765054595798534,0,1
2561,0.2682637017103341,0.757242257091701,0.47765054595798534,1,1
4580,0.26768717182766194,0.9104156477493359,0.5958231084244024,1,1
4058,0.26753601428739354,0.7304301796695531,0.46651351099554905,1,0
10846,0.2667774954749903,0.6287031356180912,0.34329032368751444,0,1
6721,0.2657027716845511,0.69034923962375,0.46496238643456206,1,1
3225,0.26487012612293553,0.5167761631164514,0.2842501889303847,1,0
1772,0.26459328955329564,0.9331158697167804,0.6255046393875511,1,1
